source_listing_id,url,city,district,address_text,property_type,rooms,area_m2,floor,floors_total,price_local,currency,deposit_local,furnished,owner_type,elevator,parking,balcony,renovation,pets_allowed,children_allowed,description,posted_at
1013106375,https://krisha.kz/a/show/1013106375,Астана,Есильский р-н,Алихана Бокейхана 21/4,квартира,1,40,3,5,200000,KZT,,полностью,owner,,,true,"не новый, но аккуратный и чистый ремонт",,,"Сдается уютная, светлая и чистая квартира с современным ремонтом. Квартира полностью меблирована и оснащена необходимой бытовой техникой для комфортного проживания. ✅ Просторная гостиная с диваном и телевизором ✅ Кухня с встроенной техникой и обеденной зоной ✅ Вместительный шкаф-купе ✅ Светлые комнаты и аккуратный ремонт ✅ Чистый подъезд и спокойный двор",2026-06-14
1013106310,https://krisha.kz/a/show/1013106310,Астана,Алматы р-н,Ахмет Байтурсынова 37 — Магжан Жумабаева,квартира,1,38,,,180000,KZT,30000,полностью,owner,,,true,,,true,"Сдам на длительный срок 1-комн квартиру ЖК Роза (Байтурсынова-Жумабаева). Байтурсынова 37 Квартира чистая, после ремонта, все необходимое для проживания имеется. Рядом школа, детский сад, спорт комплекс. Всё в шаговой доступности. Оплата 180 000 + ком услуги. Депозит 30000тг Хозяйка КВ Дом ориентировочно находится возле Магжан Жумабаева",2026-06-14
1005860820,https://krisha.kz/a/show/1005860820,Бесагаш,Алматинская обл.,Райымбек батыра 161Б — Талгаракий тракт возле Астер авто,квартира,1,30,3,7,180000,KZT,100000,полностью,owner,true,,false,"свежий ремонт, новая мебель",,,Депозит 100 тыс ! Ком услуги отдельно ! На показы по пустикам не выезжаем ! На фото все состояние квартиры видно! Суб аренда не интересует ! Квартира сдается На долгий срок ! Сдается семейным ! Дом ориентировочно находится возле Талгаракий тракт возле Астер авто,2026-06-14
1009690491,https://krisha.kz/a/show/1009690491,Тараз,Жамбылская обл.,Казыбек би 103 — Центральный гастроном,квартира,2,46,4,5,130000,KZT,50000,частично,owner,,,true,"не новый, но аккуратный и чистый ремонт",,true,"Сдается на ДЛИТЕЛЬНЫЙ срок двухкомнатная квартира в самом центре города. Дом расположен в районе с развитой инфраструктурой:в шаговой доступности магазины, супермаркеты, аптеки, кафе, школы, детские сады, остановки общественного транспорта. Отличная транспортная развязка можно быстро добраться в любую часть города. В квартире имеется необходимая техника и мебель:спальный гарнитур, холодильник, стиральная машина и газовая плита. Отличный вариант для тех, кто планирует обустроить жилье по своему вкусу. Сдается на длительный срок порядочным и арендатором. Оплата:аренда+коммунальные услуги. Депозит 50 тысяч тенге . Дом ориентировочно находится возле Центральный гастроном",2026-06-14
1012066679,https://krisha.kz/a/show/1012066679,Астана,Есильский р-н,Аль- Фараби 76,квартира,1,30,1,6,160000,KZT,,частично,owner,,,true,"свежий ремонт, новая мебель",,true,Сдам квартиру на аренду для порядочных людей Новая квартира Уютный тихий двор Элитный дом Все имеется квартире,2026-06-14
1007934378,https://krisha.kz/a/show/1007934378,Шымкент,Каратауский р-н,Байтерекова 100/4,квартира,2,75,2,12,350000,KZT,,полностью,owner,true,,true,,,true,"Чистая, свежая квартира с качественной турецкой мебелью Istikbal, Bellona. Сантехника grohe. Техника Bosch, Samsung. Все готово для проживания",2026-06-14
1013106333,https://krisha.kz/a/show/1013106333,Туркестан,Туркестанская обл.,11 43/1 — Обл акимат қасында,квартира,2,70,11,12,170000,KZT,,полностью,owner,true,,true,"свежий ремонт, новая мебель",,,Жаңа толық жиhаздары бар Дом ориентировочно находится возле Обл акимат қасында,2026-06-14
1012526976,https://krisha.kz/a/show/1012526976,Алматы,Бостандыкский р-н,Розыбакиева 153Б,квартира,3,62,1,5,380000,KZT,,полностью,owner,,true,,,,true,"Отличный дом, кирпичный ! Свежий ремонт, закрытый двор нет проблем с паркингом ! Хоть первый этаж очень высокий цоколь! Сухой подвал, имеется кладовка! Сдается на долгий срок.",2026-06-14
676768244,https://krisha.kz/a/show/676768244,Астана,Есильский р-н,Улы Дала — Туран,квартира,1,45,8,10,220000,KZT,,полностью,owner,,,,,false,,"Сдам на длительный срок 1-комнатную квартиру в ЖК Alpamys 3 📍 ул. Улы Дала, 31. Светлая, чистая и уютная квартира. Вся мебель и техника, есть спальный гарнитур, а не диван! Полностью готова к заселению. Подойдет для 1–2 человек. Без животных. Дом ориентировочно находится возле Туран",2026-06-14
1012943322,https://krisha.kz/a/show/1012943322,Алматы,Ауэзовский р-н,мкр Таугуль-3 305,квартира,1,30,,,155000,KZT,,,owner,,,,,,,"Ищем порядочных, чистоплотных и платежеспособных жильцов (1–2 человека) просторная светлая кухня вместительные шкафы, кровать, стиральная машина Чистый санузел: Оборудован душем и туалетом, сантехника в отличном состоянии, всё работает исправно. В Таугуль 3, рядом остановка, Алмата Молл НЕ ОБЩЕЖИТИЕ",2026-06-14
